track,artist,uri
Go Girl,Pitbull Featuring Trina & Young Bo$$,spotify:track:1MgM0WDaoQ2A3bnIQTR6ty
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,spotify:track:1r6cyaW7yMykwSyxTuwcuM
Ice Ice Baby,Glee Cast,spotify:track:3kUkjtNjWG7jFEMIEPnVJq
Ice Ice Baby,Vanilla Ice,spotify:track:3XVozq1aeqsJwpXrEZrDJ9
Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,spotify:track:3ddJe9uOcSrLsxesYQ4Yw7
Uno,Ambjaay,spotify:track:3AEgic4yp82NxMWUjHtxnO
Barney Theme Song,Barney,spotify:track:1JhFQ8L6QZxQchBa5qJrxS
Bad Bad Bad,Young Thug Featuring Lil Baby,spotify:track:1GeNui6m825V8jP4uKiIaH
In Da Wind,Trick Daddy Featuring Cee-Lo & Big Boi,spotify:track:4TJ56OkWrnf2fv2a6T69DL
Lil Baby,Young Thug,spotify:track:1GeNui6m825V8jP4uKiIaH
Make Love,Gucci Mane & Nicki Minaj,spotify:track:2jIT1TfSIjVik7Qu1B6P5h
Trap Keys,Joey Trap,spotify:track:6Hc3tBPFlFqdGTxDTIEUyF
Drip,Cardi B Featuring Migos,spotify:track:2qcG0nZ6S3zZV0UrkY5nFo
Freedom - Disco Dub,Waldeck,spotify:track:4ZG0ZDZqEfJb2V7LZOLd4R
Nin-com-pop - T.leboeg Mix (Compilation Edit),Lali Puna,spotify:track:1tCEBa5vbnSAcWpcb3Tcpp
SexyBack,Justin Timberlake,spotify:track:0O45fw2L5vsWpdsOdXwNAR
Mentirosa,Mellow Man Ace,spotify:track:3P6fS71hWhZvOnnxQojJ0Z
Bad Liar,Selena Gomez,spotify:track:2fZQIJew3nkNe99s2PKzul
Tonite,DJ Quik,spotify:track:2hluGQtmPypU3tsQudCQ3U
Anaconda,Nicki Minaj,spotify:track:794F99D5BQHS5ZGRXAs7I5
Yes Indeed,Lil Baby & Drake,spotify:track:6vN77lE9LK6HP2DewaN6HZ
Shake That,Eminem Featuring Nate Dogg,spotify:track:0fGh0trRN1xz3s41r7V5ce
Lose It,Quavo Featuring Lil Baby,spotify:track:69PkhA9q3xCWU2CzoZnLAu
Pull Up,Mr. Vegas,spotify:track:5NhqD8ODDHOOOXrqlctPUL
What's The Move,Young Thug Featuring Lil Uzi Vert,spotify:track:4AV8V8uTcOTwbuXjSPrAWE
Wind It Up,Gwen Stefani,spotify:track:1GeECVH4Msg1zLm8DExkbH
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,spotify:track:5oyUurs28XRagLa8lgm6V3
Trouble,Iggy Azalea Featuring Jennifer Hudson,spotify:track:3MPZOtMvBoxAIRUkgux87d
360 Degrees (What Goes Around),Grand Puba,spotify:track:4OlpEdouAXIzch2MnllGq6
Best Friend,Young Thug,spotify:track:33JcUj9qQDayKswunZP9ar
Song3,Abhi The Nomad,spotify:track:1L0ZzdUQPgWy1wTcLu2bNE
CHopstix,ScHoolboy Q + Travis Scott,spotify:track:2EGtBS7Ws3ajiSkJLviFJ4
Around The World,Daft Punk,spotify:track:1pKYYY0dkg23sQQXi0Q5zN
Hot In Herre,Nelly,spotify:track:04KTF78FFg8sOHC1BADqbY
Percolator - Remastered Original Mix,Cajmere,spotify:track:3gbvM9QXeGTVOD1ydc454h
Pull Over,Trina,spotify:track:6M33HiUHLC3R3gfXYNGMAy
Da' Dip,Freak Nasty,spotify:track:76YDsWGWezclVy9Z6sDGhf
Light It Up,Young Thug,spotify:track:2G1O1E91aRpIX5r6ngW51V
Money In The Ghetto,Too $hort,spotify:track:0aMhtRysxPRDSYtY1E1rwt
Temperature,Sean Paul,spotify:track:0k2GOhqsrxDTAbFFSdNJjT
Another One Bites The Dust,Glee Cast,spotify:track:5sKuVASn4mzf7lTOUfaLVK
Bring Out The Freak In You,Lil Rob,spotify:track:2tddDONgqas4K7avpgJgjY
EW!,Jimmy Fallon Featuring will.i.am,spotify:track:0PcLrZITBBSQKKrufVKFJI
Get Right Witcha,Migos,spotify:track:76Y0gxtTxN0FyDCYh5qYQj
Money,Cardi B,spotify:track:2GGMabyHXnJmjY6CXhhB2e
My Humps,The Black Eyed Peas,spotify:track:6uJP3iwJSJCtrkZBGS0e6s
Tables II,Joey Trap,spotify:track:1g2UzSA6l6Mc7VZIwyrP3W
Use O Funk Pra Dancar,Bonde do Tigrão,spotify:track:6DzmBjLIEWBgH4YphTcf0E
We Be Burnin',Sean Paul,spotify:track:4kOTDj4SiZPkW1p96WMDNv
Dangerous,Kardinal Offishall Featuring Akon,spotify:track:4NOZ35Dhucr6UlVyLOtktd
Flicka Da Wrist,Chedda Da Connect,spotify:track:6q5vZHAzu2uSWu7qYKSse0
Jook Gal (Wine Wine),Elephant Man,spotify:track:23TTbRZkQHjVcwtNFF4hQF
Tables,Joey Trap,spotify:track:5CEqIyfuiSa1MTTUh8kr7f
The Real Slim Shady,Eminem,spotify:track:3yfqSUWxFvZELEM4PmlwIR
Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",spotify:track:2biNa12dMbHJrHVFRt8JyO
High So High,South Park Mexican,spotify:track:4EV73dmNsiz8QnJnX1gmkr
Take It Easy - Sonny Fodera & Mat.Joe Remix,Gershon Jackson,spotify:track:6GzBYvuHbCztjvSBUYoWs3
The Ghetto,Too $hort,spotify:track:3B6WDceNe6lUQnczntRIuf
You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,spotify:track:1xMPwgmLHVXkIFYL0rvGiZ
You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,spotify:track:1xMPwgmLHVXkIFYL0rvGiZ
Take It Easy,Mad Lion,spotify:track:7B2K7BhyPTa1pyqEaI4aCC
"1, 2 Step",Ciara Featuring Missy Elliott,spotify:track:7uKcScNXuO3MWw6LowBjW1
Bring It Back,Travis Porter,spotify:track:6VWUOFXGwH1OgyPrfRONrn
Goodies,Ciara Featuring Petey Pablo,spotify:track:7uKcScNXuO3MWw6LowBjW1
Mood Swings,A Boogie Wit da Hoodie,spotify:track:2xE16muNCmhZwSOv3i1d1H
My Dawg,Lil Baby,spotify:track:7CEJH5Ed7FBbXF6CqBQPlJ
(She's Got) Skillz,All-4-One,spotify:track:4tlryZypTlbIaa7YrgxCSN
FDB,Young Dro,spotify:track:19fKNXNkmWhuAQyGbxyFXg
Percolator - Reworked '10,Cajmere,spotify:track:7g7wZC14D8TLhRHHIvxBvj
Splashin,Rich The Kid,spotify:track:3KLo7ByvjCNyBrfz5DZ2mO
There It Go! (The Whistle Song),Juelz Santana,spotify:track:50UkypyQJbSQLaXHke5Yep
Get Up,Ciara Featuring Chamillionaire,spotify:track:4PrquuUN34hswtM71OMvxS
